#@ Using S/N > 6 for detection threshold on zuul
#@ Using beams within 0.5 deg of pulsars in timing_GBNCC_071118.txt 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-09-10 17:07:26 (ET)
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 Dist  	 MJD     BW	 Spindx  Temp 	Wdat  	Wcat 	Wsmr 	 S/Ne 	 S/Nc 	 S/Ns	S/Nm 	   Flux		 dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (deg)	 (day)	(MHz)		 (K) 	(s)    	(s)    	(s)    					   (mJy)	 (mJy)  
J0358+42    	 59.90 	 41.99 	 0.226    	 46.0 	 0.498 	 55629 	 95.1 	 * 	 81.69 	 6.07582 	 2.39! 	 9.57! 	 24.328	 36.748	18.035	5.1535	   1.4619    	 0.3234    	Not Detected in  24768
J0358+42    	 59.90 	 41.99 	 0.226    	 46.0 	 0.002 	 55629 	 94.7 	 * 	 81.69 	 12.0082 	 2.39! 	 9.57! 	 107.53	 231.49	113.61	29.201	   1.8741    	 0.5586    	Detected in Beam  25145
J0358+42    	 59.90 	 41.99 	 0.226    	 46.0 	 0.495 	 55631 	 95.1 	 * 	 81.69 	 13.5936 	 2.39! 	 9.57! 	 16.409	 37.726	18.515	24.616	   10.353    	 0.5843    	Detected in Beam  25522
J0405+33    	 61.36 	 33.57 	 0.063948 	 54.0 	 0.487 	 56156 	 93.0 	 * 	 59.94 	 5.48898 	 2.39! 	 9.60! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  33596
J0405+33    	 61.36 	 33.57 	 0.063948 	 54.0 	 0.005 	 56156 	 94.2 	 * 	 59.94 	 1.01736 	 2.39! 	 9.60! 	 *	 *	*	11.676	   0.2958    	 0.1137    	Detected in Beam  33973
J0405+33    	 61.36 	 33.57 	 0.063948 	 54.0 	 0.498 	 56156 	 94.3 	 * 	 59.94 	 1.94502 	 2.39! 	 9.60! 	 *	 *	*	5.9235	   1.3127    	 0.3204    	Not Detected in  34350
J0406+30    	 61.56 	 30.72 	 0.0026   	 49.0 	 0.493 	 56224 	 94.2 	 * 	 59.94 	 0.40064 	 0.59! 	 5.11! 	 *	 *	*	4.0314	   2.0892    	 0.3213    	Not Detected in  36790
J0406+30    	 61.56 	 30.72 	 0.0026   	 49.0 	 8.344 	 56277 	 94.2 	 * 	 59.94 	 0.27737 	 0.14! 	 1.27! 	 *	 *	*	45.702	   3.1482    	 1.0853    	Detected in Beam  37167
J0406+30    	 61.56 	 30.72 	 0.0026   	 49.0 	 0.494 	 56279 	 94.1 	 * 	 59.94 	 0.21508 	 0.03! 	 0.31! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  37544
J0414+31    	 63.53 	 31.51 	 1.081    	 64.0 	 0.493 	 56184 	 93.7 	 * 	 59.94 	 27.0616 	 2.39! 	 9.57! 	 *	 *	*	8.6962	   1.6879    	 0.3139    	Detected in Beam  35892
J0414+31    	 63.53 	 31.51 	 1.081    	 64.0 	 0.000 	 56184 	 93.8 	 * 	 59.94 	 20.6629 	 2.39! 	 9.57! 	 *	 *	*	20.960	   0.5843    	 0.2126    	Detected in Beam  36269
J0414+31    	 63.53 	 31.51 	 1.081    	 64.0 	 0.494 	 56224 	 94.1 	 * 	 59.94 	 40.2584 	 2.39! 	 9.57! 	 *	 *	*	2.1055	   0.5035    	 0.3024    	Not Detected in  36646
J0417+61    	 64.31 	 61.13 	 0.44     	 71.0 	 0.493 	 55248 	 95.0 	 * 	 87.65 	 15.9081 	 2.39! 	 9.57! 	 5.5044	 9.6883	4.7549	1.9739	   0.6750    	 0.3022    	Not Detected in  09209
J0417+61    	 64.31 	 61.13 	 0.44     	 71.0 	 0.000 	 55249 	 95.0 	 * 	 87.65 	 11.4785 	 2.39! 	 9.57! 	 39.624	 58.936	28.925	8.6223	   0.4095    	 0.1303    	Detected in Beam  09442
J0417+61    	 64.31 	 61.13 	 0.44     	 71.0 	 0.493 	 55249 	 95.0 	 * 	 87.65 	 26.7321 	 2.39! 	 9.57! 	 4.1970	 9.7008	4.7611	0.7686	   0.3447    	 0.3003    	Not Detected in  09675
J0510+38    	 77.49 	 38.20 	 0.0765   	 69.0 	 0.496 	 55654 	 100. 	 * 	 89.89 	 5.68362 	 2.39! 	 9.61! 	 8.3396	 21.471	10.511	0.0	   0.0    	 0.0    	Not Detected in  28619
J0510+38    	 77.49 	 38.20 	 0.0765   	 69.0 	 0.496 	 55654 	 100. 	 * 	 89.89 	 5.68362 	 2.39! 	 9.61! 	 8.3396	 21.471	10.511	0.0	   0.0    	 0.0    	Not Detected in  28619
J0510+38    	 77.49 	 38.20 	 0.0765   	 69.0 	 0.003 	 55658 	 95.3 	 * 	 89.89 	 3.75513 	 2.39! 	 9.61! 	 63.197	 130.48	63.884	21.137	   1.4269    	 0.4208    	Detected in Beam  28996
J0510+38    	 77.49 	 38.20 	 0.0765   	 69.0 	 0.489 	 55680 	 95.1 	 * 	 89.89 	 3.58804 	 2.39! 	 9.61! 	 10.927	 22.029	10.785	5.5956	   2.1847    	 0.3098    	Not Detected in  29373
J0519+54    	 79.95 	 54.42 	 0.34     	 43.0 	 0.004 	 55343 	 95.1 	 * 	 83.33 	 14.2567 	 2.39! 	 9.57! 	 82.642	 157.12	77.117	18.575	   1.0717    	 0.3233    	Detected in Beam  14191
J0530-39    	 82.57 	 -39.1 	 0.907    	 49.0 	 0.012 	 56998 	 78.9 	 * 	 57.26 	 33.2958 	 2.39! 	 9.57! 	 *	 *	*	27.517	   1.1185    	 0.3736    	Detected in Beam 123973
J0530-39    	 82.57 	 -39.1 	 0.907    	 49.0 	 0.487 	 57023 	 78.5 	 * 	 57.26 	 68.3358 	 2.39! 	 9.57! 	 *	 *	*	1.3322	   0.4599    	 0.2836    	Not Detected in 124350
J0534-13    	 83.60 	 -13.3 	 0.979    	 74.0 	 6.752 	 57149 	 79.5 	 * 	 55.47 	 12.4174 	 2.39! 	 9.57! 	 *	 *	*	46.307	   1.0536    	 0.4512    	Detected in Beam  93575
