#@ Using S/N > 6 for detection threshold on zuul
#@ Using beams within 0.5 deg of pulsars in timing_GBNCC_071118.txt 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-09-10 17:07:26 (ET)
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 Dist  	 MJD     BW	 Spindx  Temp 	Wdat  	Wcat 	Wsmr 	 S/Ne 	 S/Nc 	 S/Ns	S/Nm 	   Flux		 dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (deg)	 (day)	(MHz)		 (K) 	(s)    	(s)    	(s)    					   (mJy)	 (mJy)  
J1917-29    	 289.3 	 -29.5 	 1.249    	 38.0 	 0.006 	 56902 	 91.3 	 * 	 55.08 	 37.9372 	 2.39! 	 9.57! 	 *	 *	*	43.455	   1.4309    	 0.4887    	Detected in Beam 113447
J1921-05    	 290.3 	 -5.32 	 2.228    	 80.3 	 0.000 	 58087 	 83.5 	 * 	 55.18 	 133.532 	 2.39! 	 9.57! 	 *	 *	*	22.623	   1.1132    	 0.3646    	Detected in Beam  83049
J1921+42    	 290.4 	 42.41 	 0.595    	 53.0 	 0.492 	 55633 	 94.9 	 * 	 70.22 	 8.58849 	 2.39! 	 9.57! 	 59.672	 65.628	32.212	174.49	   29.721    	 1.9319    	Detected in Beam  24371
J1921+42    	 290.4 	 42.41 	 0.595    	 53.0 	 0.005 	 55633 	 94.7 	 * 	 70.22 	 9.79050 	 2.39! 	 9.57! 	 337.38	 396.58	194.65	45.639	   1.3749    	 0.5086    	Detected in Beam  24748
J1922+58    	 290.5 	 58.46 	 0.53     	 53.0 	 0.494 	 55330 	 95.1 	 * 	 70.22 	 10.6605 	 2.39! 	 9.57! 	 19.053	 24.808	12.176	2.8425	   0.5803    	 0.3052    	Not Detected in  10985
J1922+58    	 290.5 	 58.46 	 0.53     	 53.0 	 0.007 	 55330 	 95.0 	 * 	 70.22 	 15.8073 	 2.39! 	 9.57! 	 95.394	 152.00	74.606	18.326	   0.7472    	 0.2410    	Detected in Beam  11218
J1922+58    	 290.5 	 58.46 	 0.53     	 53.0 	 0.492 	 55330 	 95.4 	 * 	 70.22 	 13.5663 	 2.39! 	 9.57! 	 17.195	 25.327	12.431	39.697	   8.9807    	 0.5754    	Detected in Beam  11451
J1928+28    	 292.0 	 28.82 	 1.063    	 79.0 	 0.492 	 56089 	 93.9 	 * 	 60.44 	 49.7661 	 2.39! 	 9.57! 	 *	 *	*	0.8816	   0.2366    	 0.2964    	Not Detected in  38977
J1928+28    	 292.0 	 28.82 	 1.063    	 79.0 	 0.005 	 56107 	 94.1 	 * 	 60.44 	 43.7445 	 2.39! 	 9.57! 	 *	 *	*	15.414	   0.6422    	 0.2074    	Detected in Beam  39354
J1928+28    	 292.0 	 28.82 	 1.063    	 79.0 	 0.498 	 56107 	 94.1 	 * 	 60.44 	 67.0865 	 2.39! 	 9.57! 	 *	 *	*	0.7161	   0.2350    	 0.3135    	Not Detected in  39731
J1929+38    	 292.3 	 38.18 	 0.814    	 93.0 	 0.492 	 55851 	 95.2 	 * 	 66.85 	 14.8022 	 2.39! 	 9.57! 	 *	 *	*	10.856	   1.9719    	 0.3200    	Detected in Beam  28641
J1929+38    	 292.3 	 38.18 	 0.814    	 93.0 	 0.000 	 55851 	 94.8 	 * 	 66.85 	 26.6632 	 2.39! 	 9.57! 	 *	 *	*	70.872	   2.8886    	 0.9304    	Detected in Beam  29018
J1929+38    	 292.3 	 38.18 	 0.814    	 93.0 	 0.494 	 55988 	 95.8 	 * 	 66.85 	 55.0878 	 2.39! 	 9.57! 	 *	 *	*	0.7152	   0.2590    	 0.3016    	Not Detected in  29395
J1929+62    	 292.4 	 62.26 	 1.456    	 67.0 	 0.011 	 55200 	 97.7 	 * 	 66.65 	 29.6299 	 2.39! 	 9.57! 	 55.975	 73.317	35.986	13.094	   0.4109    	 0.1437    	Detected in Beam  08723
J1929+62    	 292.4 	 62.26 	 1.456    	 67.0 	 0.011 	 56657 	 95.8 	 * 	 66.65 	 20.8036 	 2.39! 	 9.57! 	 66.344	 72.590	35.629	23.631	   0.6257    	 0.2456    	Detected in Beam  08723
J1929+62    	 292.4 	 62.26 	 1.456    	 67.0 	 0.011 	 56655 	 99.1 	 * 	 66.65 	 27.1132 	 2.39! 	 9.57! 	 58.966	 73.816	36.231	19.451	   0.5795    	 0.2074    	Detected in Beam  08723
J1929+62    	 292.4 	 62.26 	 1.456    	 67.0 	 0.487 	 55249 	 95.4 	 * 	 66.65 	 127.347 	 2.39! 	 9.57! 	 4.4357	 12.479	6.1255	0.6068	   0.2403    	 0.2834    	Not Detected in  08956
J1929+66    	 292.4 	 66.80 	 0.806    	 60.0 	 0.010 	 55178 	 94.7 	 * 	 108.9 	 12.3333 	 2.39! 	 9.57! 	 *	 *	*	23.404	   1.0543    	 0.3834    	Detected in Beam  06139
J1935+52    	 293.7 	 52.19 	 0.568    	 71.0 	 0.006 	 55363 	 95.9 	 * 	 81.55 	 18.1912 	 2.39! 	 9.57! 	 79.570	 131.53	64.558	25.645	   1.2537    	 0.3900    	Detected in Beam  15954
J1939+66    	 294.9 	 66.19 	 0.0222   	 41.0 	 0.010 	 55179 	 94.6 	 * 	 65.16 	 0.93627 	 1.53! 	 6.22! 	 58.050	 110.70	53.865	1.3097	   0.0594    	 0.0198    	Not Detected in  06461
J1940-24    	 295.0 	 -24.5 	 0.0982   	 53.4 	 0.018 	 56773 	 92.5 	 * 	 55.08 	 5.52590 	 2.39! 	 9.58! 	 *	 *	*	11.374	   0.5146    	 0.1676    	Detected in Beam 107559
J1940-24    	 295.0 	 -24.5 	 0.0982   	 53.4 	 0.489 	 56774 	 93.3 	 * 	 55.08 	 10.1662 	 2.39! 	 9.58! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 107936
J1941+02    	 295.3 	 2.452 	 1.232    	 87.0 	 0.000 	 57695 	 77.5 	 * 	 55.67 	 48.4390 	 2.39! 	 9.57! 	 *	 *	*	22.794	   0.9411    	 0.3159    	Detected in Beam  72747
J1941+43    	 295.3 	 43.38 	 0.841    	 79.0 	 0.002 	 55633 	 94.8 	 * 	 88.99 	 15.4035 	 2.39! 	 9.57! 	 283.39	 351.78	172.66	37.017	   1.4915    	 0.5171    	Detected in Beam  23795
J1941+43    	 295.3 	 43.38 	 0.841    	 79.0 	 0.498 	 55633 	 94.6 	 * 	 88.99 	 45.5468 	 2.39! 	 9.57! 	 25.682	 55.850	27.412	4.1567	   1.8481    	 0.3253    	Not Detected in  24172
J1942+81    	 295.5 	 81.10 	 0.203    	 40.2 	 0.005 	 55128 	 94.8 	 * 	 56.37 	 2.96556 	 2.39! 	 9.57! 	 264.70	 292.90	143.75	22.966	   0.5225    	 0.2094    	Detected in Beam  00916
J1946-09    	 296.7 	 -9.33 	 0.0912   	 50.2 	 0.006 	 58055 	 70.7 	 * 	 55.47 	 8.37949 	 2.39! 	 9.58! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  88340
J1948-27    	 297.0 	 -27.2 	 0.332    	 58.0 	 0.489 	 56779 	 93.7 	 * 	 55.08 	 4.14088 	 2.39! 	 9.57! 	 *	 *	*	6.4424	   0.7838    	 0.2941    	Detected in Beam 110465
J1948-27    	 297.0 	 -27.2 	 0.332    	 58.0 	 0.007 	 56783 	 91.1 	 * 	 55.08 	 7.54733 	 2.39! 	 9.57! 	 *	 *	*	17.291	   0.4913    	 0.1755    	Detected in Beam 110842
J1949+34    	 297.5 	 34.59 	 0.389    	 228.0 	 0.495 	 56046 	 93.1 	 * 	 66.85 	 31.1666 	 2.39! 	 23.1! 	 *	 *	*	2.5665	   1.0449    	 0.3102    	Not Detected in  32479
J1949+34    	 297.5 	 34.59 	 0.389    	 228.0 	 0.006 	 56052 	 94.4 	 * 	 66.85 	 19.4975 	 2.39! 	 23.1! 	 *	 *	*	21.792	   1.1119    	 0.3459    	Detected in Beam  32856
J1949+34    	 297.5 	 34.59 	 0.389    	 228.0 	 0.489 	 56052 	 94.3 	 * 	 66.85 	 16.4576 	 2.39! 	 23.1! 	 *	 *	*	18.536	   5.1179    	 0.3975    	Detected in Beam  33233
J1953+67    	 298.3 	 67.02 	 0.00857  	 57.0 	 0.007 	 55178 	 94.9 	 * 	 65.75 	 1.03278 	 0.59! 	 2.89! 	 26.446	 88.964	39.487	0.0	   0.0    	 0.0    	Not Detected in  06029
J1954+38    	 298.6 	 38.65 	 0.353    	 65.0 	 0.493 	 55851 	 94.4 	 * 	 66.85 	 10.3457 	 2.39! 	 9.57! 	 *	 *	*	11.010	   2.5806    	 0.3304    	Detected in Beam  28154
J1954+38    	 298.6 	 38.65 	 0.353    	 65.0 	 0.000 	 55852 	 94.5 	 * 	 66.85 	 4.51553 	 2.39! 	 9.57! 	 *	 *	*	25.920	   0.6546    	 0.2697    	Detected in Beam  28531
J1954+38    	 298.6 	 38.65 	 0.353    	 65.0 	 0.493 	 55852 	 94.9 	 * 	 66.85 	 20.5729 	 2.39! 	 9.57! 	 *	 *	*	0.8237	   0.2760    	 0.3006    	Not Detected in  28908
J1954+43    	 298.7 	 43.83 	 1.387    	 130.0 	 0.498 	 55633 	 94.4 	 * 	 115.0 	 102.841 	 2.39! 	 9.57! 	 5.1489	 13.241	6.4969	1.3263	   0.9050    	 0.3172    	Not Detected in  22986
J1954+43    	 298.7 	 43.83 	 1.387    	 130.0 	 0.002 	 55633 	 94.4 	 * 	 115.0 	 95.4184 	 2.39! 	 9.57! 	 33.825	 83.552	40.993	25.490	   2.6477    	 0.7468    	Detected in Beam  23363
J2000+29    	 300.1 	 29.17 	 3.074    	 133.0 	 0.498 	 56086 	 93.8 	 * 	 60.44 	 188.068 	 2.39! 	 9.57! 	 *	 *	*	1.6401	   0.5298    	 0.3140    	Not Detected in  38579
J2000+29    	 300.1 	 29.17 	 3.074    	 133.0 	 0.005 	 56089 	 93.8 	 * 	 60.44 	 42.7035 	 2.39! 	 9.57! 	 *	 *	*	25.007	   0.5979    	 0.2413    	Detected in Beam  38956
J2000+29    	 300.1 	 29.17 	 3.074    	 133.0 	 0.491 	 56107 	 93.9 	 * 	 60.44 	 115.883 	 2.39! 	 9.57! 	 *	 *	*	4.0323	   0.9641    	 0.2997    	Not Detected in  39333
J2001+42    	 300.3 	 42.72 	 0.719    	 55.0 	 0.005 	 55633 	 94.4 	 * 	 149.1 	 10.4689 	 2.39! 	 9.57! 	 420.81	 464.86	228.16	30.380	   1.8299    	 0.6701    	Detected in Beam  24439
J2001+42    	 300.3 	 42.72 	 0.719    	 55.0 	 0.495 	 55633 	 94.4 	 * 	 149.1 	 42.2836 	 2.39! 	 9.57! 	 33.316	 75.683	37.147	0.0	   0.0    	 0.0    	Not Detected in  24816
J2017-04    	 304.4 	 -4.19 	 0.0406   	 30.9 	 0.008 	 57384 	 84.7 	 * 	 56.02 	 1.12395 	 1.53! 	 6.14! 	 *	 *	*	15.691	   0.5202    	 0.1975    	Detected in Beam  81554
J2017-27    	 304.2 	 -27.5 	 0.224    	 26.0 	 0.017 	 56783 	 92.5 	 * 	 55.08 	 17.8592 	 2.39! 	 9.57! 	 *	 *	*	9.2788	   0.5059    	 0.1631    	Detected in Beam 111198
J2017-27    	 304.2 	 -27.5 	 0.224    	 26.0 	 0.486 	 56810 	 91.1 	 * 	 55.08 	 23.8591 	 2.39! 	 9.57! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 111575
J2017+59    	 304.4 	 59.21 	 0.403    	 61.0 	 0.488 	 55263 	 95.7 	 * 	 73.20 	 38.0493 	 2.39! 	 9.57! 	 3.0131	 8.8417	4.3395	0.5768	   0.2642    	 0.2875    	Not Detected in  10477
J2017+59    	 304.4 	 59.21 	 0.403    	 61.0 	 0.003 	 55263 	 95.5 	 * 	 73.20 	 43.6864 	 2.39! 	 9.57! 	 16.377	 51.898	25.472	9.6801	   0.8158    	 0.2431    	Detected in Beam  10710
J2017+59    	 304.4 	 59.21 	 0.403    	 61.0 	 0.496 	 55263 	 95.6 	 * 	 73.20 	 15.5428 	 2.39! 	 9.57! 	 4.5869	 8.3491	4.0977	1.1180	   0.3364    	 0.3094    	Not Detected in  10943
J2019+72    	 304.9 	 72.37 	 0.219091 	 35.0 	 0.491 	 55178 	 94.6 	 * 	 98.03 	 16.5417 	 2.39! 	 9.57! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  03424
J2019+72    	 304.9 	 72.37 	 0.219091 	 35.0 	 0.006 	 55178 	 94.5 	 * 	 98.03 	 11.7440 	 2.39! 	 9.57! 	 *	 *	*	1.7648	   0.1366    	 0.0396    	Not Detected in  03568
J2019+72    	 304.9 	 72.37 	 0.219091 	 35.0 	 0.494 	 55178 	 94.5 	 * 	 98.03 	 9.18589 	 2.39! 	 9.57! 	 *	 *	*	3.2294	   1.3448    	 0.3093    	Not Detected in  03712
J2022+25    	 305.6 	 25.39 	 0.002646 	 54.0 	 0.009 	 56180 	 93.6 	 * 	 60.44 	 0.37860 	 0.59! 	 5.50! 	 *	 *	*	5.6042	   0.4620    	 0.1529    	Not Detected in  43404
J2022+25    	 305.6 	 25.39 	 0.002646 	 54.0 	 0.488 	 56224 	 93.9 	 * 	 60.44 	 0.26403 	 0.14! 	 1.37! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  43781
J2027+74    	 306.8 	 74.77 	 0.515    	 11.0 	 0.008 	 55149 	 94.9 	 * 	 63.97 	 45.9747 	 2.39! 	 9.57! 	 45.380	 129.11	63.376	35.464	   2.3535    	 0.7259    	Detected in Beam  02670
J2038-36    	 309.6 	 -36.1 	 0.00328  	 24.0 	 0.490 	 57151 	 80.8 	 * 	 55.08 	 0.41079 	 0.59! 	 2.95! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 120437
J2038-36    	 309.6 	 -36.1 	 0.00328  	 24.0 	 0.006 	 57151 	 81.4 	 * 	 55.08 	 0.37828 	 0.14! 	 0.73! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 120814
J2038-36    	 309.6 	 -36.1 	 0.00328  	 24.0 	 0.494 	 57151 	 81.5 	 * 	 55.08 	 0.17793 	 0.03! 	 0.18! 	 *	 *	*	2.1014	   0.6078    	 0.3064    	Not Detected in 121191
J2040-21    	 310.1 	 -21.8 	 0.563    	 24.0 	 0.493 	 56591 	 94.2 	 * 	 55.08 	 36.2831 	 2.39! 	 9.57! 	 *	 *	*	2.2241	   0.6484    	 0.3012    	Not Detected in 103946
J2040-21    	 310.1 	 -21.8 	 0.563    	 24.0 	 0.009 	 56655 	 94.3 	 * 	 55.08 	 22.4699 	 2.39! 	 9.57! 	 *	 *	*	72.465	   2.7054    	 0.8985    	Detected in Beam 104323
J2044+28    	 311.0 	 28.71 	 1.618    	 90.0 	 0.490 	 56086 	 94.1 	 * 	 60.44 	 38.3379 	 2.39! 	 9.57! 	 *	 *	*	1.4083	   0.2625    	 0.2924    	Not Detected in  39113
J2044+28    	 311.0 	 28.71 	 1.618    	 90.0 	 0.005 	 56089 	 94.2 	 * 	 60.44 	 40.2351 	 2.39! 	 9.57! 	 *	 *	*	15.838	   0.5084    	 0.1743    	Detected in Beam  39490
J2044+28    	 311.0 	 28.71 	 1.618    	 90.0 	 0.499 	 56110 	 94.2 	 * 	 60.44 	 44.3946 	 2.39! 	 9.57! 	 *	 *	*	16.614	   3.5689    	 0.3702    	Detected in Beam  39867
J2054-39    	 313.7 	 -39.9 	 0.977    	 25.0 	 0.494 	 57213 	 79.8 	 * 	 55.08 	 51.9819 	 2.39! 	 9.57! 	 *	 *	*	2.4225	   0.6976    	 0.3041    	Not Detected in 124419
J2054-39    	 313.7 	 -39.9 	 0.977    	 25.0 	 0.000 	 57214 	 88.5 	 * 	 55.08 	 9.89175 	 2.39! 	 9.57! 	 *	 *	*	66.748	   1.2751    	 0.6077    	Detected in Beam 124796
J2105+28    	 316.4 	 28.48 	 0.406    	 62.0 	 0.492 	 56089 	 94.2 	 * 	 73.05 	 23.8652 	 2.39! 	 9.57! 	 29.509	 67.018	32.892	0.7345	   0.2686    	 0.2969    	Not Detected in  39380
J2105+28    	 316.4 	 28.48 	 0.406    	 62.0 	 0.005 	 56156 	 94.0 	 * 	 73.05 	 7.72852 	 2.39! 	 9.57! 	 318.62	 403.36	197.97	11.377	   0.3853    	 0.1354    	Detected in Beam  39757
J2105+28    	 316.4 	 28.48 	 0.406    	 62.0 	 0.498 	 56156 	 94.0 	 * 	 73.05 	 5.30280 	 2.39! 	 9.57! 	 61.253	 64.037	31.429	17.750	   3.1272    	 0.3725    	Detected in Beam  40134
J2113+67    	 318.3 	 67.03 	 0.552    	 54.0 	 0.007 	 56655 	 99.1 	 * 	 74.69 	 32.1071 	 2.39! 	 9.57! 	 20.843	 47.073	23.104	29.917	   1.8011    	 0.5417    	Detected in Beam  06021
J2113+67    	 318.3 	 67.03 	 0.552    	 54.0 	 0.007 	 55179 	 98.3 	 * 	 74.69 	 16.1180 	 2.39! 	 9.57! 	 29.747	 46.884	23.012	10.632	   0.4484    	 0.1431    	Detected in Beam  06021
J2122+54    	 320.6 	 54.54 	 0.139    	 32.0 	 0.498 	 55348 	 95.0 	 * 	 130.8 	 7.22665 	 2.39! 	 9.57! 	 6.6530	 14.159	6.9488	4.4472	   2.8519    	 0.3402    	Not Detected in  13862
J2122+54    	 320.6 	 54.54 	 0.139    	 32.0 	 0.003 	 55348 	 95.0 	 * 	 130.8 	 3.93919 	 2.39! 	 9.57! 	 57.650	 89.474	43.911	13.939	   1.0315    	 0.3115    	Detected in Beam  14095
J2131-31    	 322.8 	 -31.6 	 3.325    	 32.0 	 0.014 	 56932 	 85.1 	 * 	 55.08 	 43.4373 	 2.39! 	 9.57! 	 *	 *	*	30.427	   0.6755    	 0.2849    	Detected in Beam 115892
J2131-31    	 322.8 	 -31.6 	 3.325    	 32.0 	 0.483 	 56932 	 84.5 	 * 	 55.08 	 231.771 	 2.39! 	 9.57! 	 *	 *	*	5.1423	   1.5338    	 0.2863    	Not Detected in 116269
J2137+64    	 324.3 	 64.31 	 1.751    	 106.0 	 7.649 	 55196 	 94.2 	 * 	 87.06 	 19.5976 	 2.39! 	 9.57! 	 260.81	 252.17	123.76	23.853	   0.7344    	 0.3152    	Detected in Beam  07508
J2145+21    	 326.4 	 21.76 	 1.419    	 44.0 	 0.009 	 56459 	 94.6 	 * 	 60.59 	 33.7326 	 2.39! 	 9.57! 	 *	 *	*	15.343	   0.4815    	 0.1662    	Detected in Beam  47810
J2145+21    	 326.4 	 21.76 	 1.419    	 44.0 	 0.499 	 56477 	 94.2 	 * 	 60.59 	 105.550 	 2.39! 	 9.57! 	 *	 *	*	1.3270	   0.4796    	 0.3167    	Not Detected in  48187
J2148-34    	 327.0 	 -34.3 	 0.927    	 14.0 	 0.486 	 56967 	 80.9 	 * 	 55.08 	 65.0481 	 2.39! 	 9.57! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 118510
J2148-34    	 327.0 	 -34.3 	 0.927    	 14.0 	 0.008 	 56967 	 80.1 	 * 	 55.08 	 20.1289 	 2.39! 	 9.57! 	 *	 *	*	28.738	   0.8509    	 0.3087    	Detected in Beam 118887
J2148-34    	 327.0 	 -34.3 	 0.927    	 14.0 	 0.499 	 56970 	 84.3 	 * 	 55.08 	 46.8076 	 2.39! 	 9.57! 	 *	 *	*	3.6855	   1.0422    	 0.3209    	Not Detected in 119264
J2150-03    	 327.5 	 -3.39 	 0.0035   	 21.0 	 0.006 	 57170 	 77.0 	 * 	 56.02 	 0.23662 	 0.59! 	 2.78! 	 *	 *	*	66.991	   3.7173    	 1.4581    	Detected in Beam  80504
J2152-28    	 328.2 	 -28.2 	 1.343    	 33.0 	 0.492 	 56837 	 92.6 	 * 	 55.08 	 12.9297 	 2.39! 	 9.57! 	 *	 *	*	32.869	   3.6071    	 0.4170    	Detected in Beam 111601
J2152-28    	 328.2 	 -28.2 	 1.343    	 33.0 	 0.004 	 56838 	 93.1 	 * 	 55.08 	 11.5686 	 2.39! 	 9.57! 	 *	 *	*	32.402	   0.5563    	 0.2909    	Detected in Beam 111978
J2152-28    	 328.2 	 -28.2 	 1.343    	 33.0 	 0.498 	 56845 	 92.2 	 * 	 55.08 	 104.369 	 2.39! 	 9.57! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 112355
J2158-27    	 329.5 	 -27.2 	 0.477    	 22.0 	 0.494 	 56777 	 91.3 	 * 	 55.08 	 26.4567 	 2.39! 	 9.57! 	 *	 *	*	0.8184	   0.2254    	 0.3022    	Not Detected in 110470
J2158-27    	 329.5 	 -27.2 	 0.477    	 22.0 	 0.006 	 56781 	 93.8 	 * 	 55.08 	 13.3426 	 2.39! 	 9.57! 	 *	 *	*	36.895	   1.1491    	 0.3961    	Detected in Beam 110847
J2158-27    	 329.5 	 -27.2 	 0.477    	 22.0 	 0.498 	 56837 	 93.3 	 * 	 55.08 	 16.4769 	 2.39! 	 9.57! 	 *	 *	*	41.513	   9.0929    	 0.5787    	Detected in Beam 111224
J2205+62    	 331.4 	 62.07 	 0.323    	 167.0 	 0.492 	 55199 	 95.0 	 * 	 117.7 	 30.7431 	 2.39! 	 10.9! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  08618
J2205+62    	 331.4 	 62.07 	 0.323    	 167.0 	 0.004 	 55199 	 95.1 	 * 	 117.7 	 21.0371 	 2.39! 	 10.9! 	 *	 *	*	1.6208	   0.1666    	 0.0469    	Not Detected in  08851
J2205+62    	 331.4 	 62.07 	 0.323    	 167.0 	 0.497 	 55199 	 95.1 	 * 	 117.7 	 24.7782 	 2.39! 	 10.9! 	 *	 *	*	3.5690	   2.5151    	 0.3320    	Not Detected in  09084
J2207-15    	 331.9 	 -15.2 	 0.766    	 28.7 	 0.004 	 57789 	 98.3 	 * 	 55.47 	 23.3630 	 2.39! 	 9.57! 	 *	 *	*	17.639	   0.5650    	 0.1918    	Detected in Beam  96042
J2207-15    	 331.9 	 -15.2 	 0.766    	 28.7 	 0.004 	 57789 	 98.3 	 * 	 55.47 	 23.3630 	 2.39! 	 9.57! 	 *	 *	*	17.639	   0.5650    	 0.1918    	Detected in Beam  96042
J2207+40    	 331.8 	 40.95 	 0.637    	 11.6 	 0.496 	 55657 	 96.1 	 * 	 76.93 	 17.0360 	 2.39! 	 9.57! 	 18.283	 27.543	13.519	2.7279	   0.7114    	 0.3107    	Not Detected in  25808
J2207+40    	 331.8 	 40.95 	 0.637    	 11.6 	 0.004 	 55657 	 96.0 	 * 	 76.93 	 31.3187 	 2.39! 	 9.57! 	 82.764	 171.03	83.949	36.695	   2.1141    	 0.6390    	Detected in Beam  26185
J2207+40    	 331.8 	 40.95 	 0.637    	 11.6 	 0.494 	 55847 	 95.1 	 * 	 76.93 	 22.5072 	 2.39! 	 9.57! 	 15.976	 27.787	13.639	1.1040	   0.3295    	 0.3034    	Not Detected in  26562
J2210+57    	 332.7 	 57.49 	 2.057    	 189.0 	 0.497 	 55259 	 95.4 	 * 	 120.2 	 86.8963 	 2.39! 	 9.69! 	 2.6419	 5.0423	2.4586	2.9929	   1.5637    	 0.3197    	Not Detected in  11668
J2210+57    	 332.7 	 57.49 	 2.057    	 189.0 	 0.010 	 55325 	 94.6 	 * 	 120.2 	 108.244 	 2.39! 	 9.69! 	 14.667	 31.416	15.318	11.486	   1.0809    	 0.3071    	Detected in Beam  11901
J2210+57    	 332.7 	 57.49 	 2.057    	 189.0 	 0.492 	 55327 	 97.7 	 * 	 120.2 	 94.2312 	 2.39! 	 9.69! 	 2.6679	 5.3125	2.5904	2.7879	   1.4423    	 0.3038    	Not Detected in  12134
J2210+57    	 332.7 	 57.49 	 2.057    	 189.0 	 0.492 	 55325 	 97.7 	 * 	 120.2 	 111.533 	 2.39! 	 9.69! 	 2.4414	 5.3125	2.5904	0.8006	   0.4526    	 0.2967    	Not Detected in  12134
J2228+64    	 337.1 	 64.96 	 1.893    	 194.0 	 0.005 	 55196 	 93.9 	 * 	 114.3 	 53.0820 	 2.39! 	 9.75! 	 *	 *	*	16.893	   1.0927    	 0.3340    	Detected in Beam  07144
J2243+69    	 340.8 	 69.65 	 0.855    	 68.0 	 0.486 	 55163 	 95.7 	 * 	 98.03 	 48.7241 	 2.39! 	 9.57! 	 8.7627	 19.576	9.6085	0.0	   0.0    	 0.0    	Not Detected in  04594
J2243+69    	 340.8 	 69.65 	 0.855    	 68.0 	 0.017 	 55164 	 94.2 	 * 	 98.03 	 13.1813 	 2.39! 	 9.57! 	 98.233	 111.70	54.829	20.415	   0.8345    	 0.3044    	Detected in Beam  04738
J2257-16    	 344.4 	 -16.5 	 0.469    	 52.8 	 0.005 	 57998 	 89.3 	 * 	 55.47 	 9.63948 	 2.39! 	 9.57! 	 *	 *	*	21.856	   0.5997    	 0.2186    	Detected in Beam  97652
J2316+69    	 349.2 	 69.20 	 0.813    	 71.0 	 0.496 	 55163 	 95.7 	 * 	 91.08 	 33.3162 	 2.39! 	 9.57! 	 8.1380	 15.287	7.5036	3.0106	   1.1605    	 0.3131    	Not Detected in  04806
J2316+69    	 349.2 	 69.20 	 0.813    	 71.0 	 0.011 	 55164 	 93.6 	 * 	 91.08 	 25.1553 	 2.39! 	 9.57! 	 57.730	 93.747	46.013	15.247	   0.8285    	 0.2551    	Detected in Beam  04950
J2327+62    	 351.8 	 62.69 	 0.266    	 194.0 	 0.497 	 55198 	 95.4 	 * 	 117.7 	 22.6079 	 2.39! 	 16.5! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in  08233
J2327+62    	 351.8 	 62.69 	 0.266    	 194.0 	 0.000 	 55199 	 95.1 	 * 	 117.7 	 6.04570 	 2.39! 	 16.5! 	 *	 *	*	14.543	   0.8639    	 0.2751    	Detected in Beam  08466
J2327+62    	 351.8 	 62.69 	 0.266    	 194.0 	 0.496 	 55199 	 95.0 	 * 	 117.7 	 7.59580 	 2.39! 	 16.5! 	 *	 *	*	2.3326	   0.9681    	 0.3118    	Not Detected in  08699
J2353-22    	 358.4 	 -22.8 	 0.558    	 9.9 	 0.015 	 56666 	 94.2 	 * 	 55.08 	 9.12356 	 2.39! 	 9.57! 	 *	 *	*	51.243	   1.2118    	 0.4689    	Detected in Beam 105506
J2353-22    	 358.4 	 -22.8 	 0.558    	 9.9 	 0.493 	 56717 	 87.4 	 * 	 55.08 	 45.1752 	 2.39! 	 9.57! 	 *	 *	*	0.0	   0.0    	 0.0    	Not Detected in 105883
J2353+85    	 358.3 	 85.57 	 1.011    	 38.3 	 0.493 	 55082 	 94.1 	 * 	 60.39 	 113.112 	 2.39! 	 9.57! 	 14.246	 45.953	22.555	0.0	   0.0    	 0.0    	Not Detected in  00193
J2353+85    	 358.3 	 85.57 	 1.011    	 38.3 	 0.000 	 55082 	 94.0 	 * 	 60.39 	 17.6268 	 2.39! 	 9.57! 	 229.61	 277.95	136.43	19.631	   0.5257    	 0.1960    	Detected in Beam  00227
J2353+85    	 358.3 	 85.57 	 1.011    	 38.3 	 0.495 	 55082 	 94.3 	 * 	 60.39 	 31.6817 	 2.39! 	 9.57! 	 27.675	 45.237	22.204	2.5008	   0.5556    	 0.3063    	Not Detected in  00261
