# Using S/N > 6 for detection threshold on zuul
# Using beams within 0.5 deg of pulsars from tmp
# Flux adjusted for offset from beam center
# Expected S/N estimated from published flux values
# Flux estimated from measured S/N, uncertainty estimated from dependencies
# File generated 2018-07-25 11:29:59 (ET)
#   PSRJ  	   RA 		     Dec 	 P0 			P1 	      DM 	 Distance  	  MJD   	 S/N exp. 	  S/N meas. 	     Est. Flux	   Flux Error	Status 
#		   (deg)   	    (deg) 	 (s) 			(s/s) 	      (p/cc) 	 (deg)		  (day)					             (mJy)  	   (mJy)  
  J0054+66	     13.5 	     66.0 	 1.3900 	        * 	       15 	 0.4326285 	  55188  	       *	   2.652	     0.554    	   0.204    	Not Detected in # 06340
  J0054+66	     13.5 	     66.0 	 1.3900 	        * 	       15 	 0.2419659 	  55188  	       *	   2.454	     0.198    	   0.106    	Not Detected in # 06573
  J0054+66	     13.5 	     66.0 	 1.3900 	        * 	       15 	 0.3445852 	  55180  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 06717
J0055+5117	 13.93908 	 51.29027 	 2.1152 	 9.53764E-15 	  44.0127 	 0.2867111 	  55405  	  24.430	  24.451	     3.889    	   0.693    	Detected in Beam # 16532
J0055+5117	 13.93908 	 51.29027 	 2.1152 	 9.53764E-15 	  44.0127 	 0.4910556 	  55405  	  19.407	   3.873	     0.775    	   0.310    	Not Detected in # 16676
J0055+5117	 13.93908 	 51.29027 	 2.1152 	 9.53764E-15 	  44.0127 	 0.2635742 	  55405  	  39.229	  11.414	     1.131    	   0.267    	Detected in Beam # 16909
J0056+4756	  14.1063 	 47.93626 	 0.4720 	 3.32849E-15 	  18.1354 	 0.2362619 	  55538  	  38.606	  22.612	     2.062    	   0.538    	Detected in Beam # 19493
J0056+4756	  14.1063 	 47.93626 	 0.4720 	 3.32849E-15 	  18.1354 	 0.2979710 	  55538  	  26.004	  13.531	     1.832    	   0.346    	Detected in Beam # 19726
J0058+6125	     14.5 	 61.41667 	 0.6370 	        * 	      129 	 0.2786380 	  55235  	       *	   0.000	     0.000    	   0.000    	Not Detected in # 09157
J0058+6125	     14.5 	 61.41667 	 0.6370 	        * 	      129 	 0.2269574 	  55249  	       *	  12.473	     1.930    	   0.447    	Detected in Beam # 09390
  J0059+50	    14.75 	 50.03333 	 0.9960 	        * 	       67 	 0.4935605 	  55531  	  35.558	   0.000	     0.000    	   0.000    	Not Detected in # 17519
  J0059+50	    14.75 	 50.03333 	 0.9960 	        * 	       67 	 0.0323870 	  55531  	  121.26	  25.412	     1.473    	   0.571    	Detected in Beam # 17752
J0102+4839	    15.75 	     48.0 	 0.0030 	        * 	     53.5 	 0.3997095 	  55531  	  4.4081	   0.000	     0.000    	   0.000    	Not Detected in # 19205
J0102+4839	    15.75 	     48.0 	 0.0030 	        * 	     53.5 	 0.1260980 	  55538  	  12.155	   0.000	     0.000    	   0.000    	Not Detected in # 19582
J0102+4839	    15.75 	     48.0 	 0.0030 	        * 	     53.5 	 0.4870559 	  55538  	  2.3620	   0.000	     0.000    	   0.000    	Not Detected in # 19815
J0102+6537	 15.63733 	 65.62039 	 1.6792 	 5.95492E-15 	   65.853 	 0.2373537 	  55188  	  64.269	  73.642	    12.059    	   2.686    	Detected in Beam # 06662
J0102+6537	 15.63733 	 65.62039 	 1.6792 	 5.95492E-15 	   65.853 	 0.3558909 	  55180  	  38.175	  54.444	    15.010    	   1.987    	Detected in Beam # 06806
J0102+6537	 15.63733 	 65.62039 	 1.6792 	 5.95492E-15 	   65.853 	 0.4512881 	  55188  	  21.586	  36.301	    17.699    	   1.339    	Detected in Beam # 06895
J0102+6537	 15.63733 	 65.62039 	 1.6792 	 5.95492E-15 	   65.853 	 0.4791917 	  55188  	  20.784	   8.191	     4.148    	   0.386    	Detected in Beam # 07039
