# Using S/N > 6 for detection threshold on zuul
# Using beams within 0.5 deg of pulsars from psrcat_v158_north.txt
# Flux adjusted for offset from beam center
# Expected S/N estimated from published flux values
# Flux estimated from measured S/N, uncertainty estimated from dependencies
# File generated 2018-07-18 18:10:53 (ET)
#   PSRJ  	   RA 		     Dec 	 P0 			P1 	      DM 	 Distance  	  MJD   	 S/N exp. 	  S/N meas. 	     Est. Flux	   Flux Error	Status 
#		   (deg)   	    (deg) 	 (s) 			(s/s) 	      (p/cc) 	 (deg)		  (day)					             (mJy)  	   (mJy)  
J0134-2937	 23.57784 	 -29.6214 	 0.1370 	 7.83699E-17 	   21.806 	 0.3489958 	  56901  	  37.197	  34.567	     9.629    	   1.264    	Detected in Beam #113894
  J0136+63	     24.0 	     63.7 	 0.7179 	        * 	      286 	 0.4863835 	  55197  	   8.949	   0.000	     0.000    	   0.000    	Not Detected in # 07628
  J0136+63	     24.0 	     63.7 	 0.7179 	        * 	      286 	 0.0431416 	  55197  	  28.790	  11.251	     1.618    	   0.589    	Detected in Beam # 07861
J0137+1654	  24.3495 	 16.91169 	 0.4148 	 0.01223E-15 	  26.0838 	  0.1643710  	      *    	       *	       *	         *	       *        Beam # 53852 Not Found
J0137+1654	  24.3495 	 16.91169 	 0.4148 	 0.01223E-15 	  26.0838 	  0.3630751  	      *    	       *	       *	         *	       *        Beam # 54229 Not Found
J0139+5621	 24.91067 	 56.36022 	 1.7753 	 7.9096E-14 	  101.842 	 0.4481712 	  55279  	   3.528	   2.672	     0.750    	   0.238    	Not Detected in # 12508
J0139+5621	 24.91067 	 56.36022 	 1.7753 	 7.9096E-14 	  101.842 	 0.3020102 	  55325  	   5.562	   8.461	     1.507    	   0.357    	Detected in Beam # 12652
J0139+5621	 24.91067 	 56.36022 	 1.7753 	 7.9096E-14 	  101.842 	 0.2358335 	  55328  	  10.345	   3.782	     0.362    	   0.189    	Not Detected in # 12885
J0139+5814	 24.83225 	 58.24217 	 0.2725 	 1.071167E-14 	 73.81141 	 0.1534312 	  55254  	 177.563	 337.563	    65.646    	  17.354    	Detected in Beam # 11288
J0139+5814	 24.83225 	 58.24217 	 0.2725 	 1.071167E-14 	 73.81141 	 0.4906533 	  55257  	  46.880	  70.267	    51.757    	   3.236    	Detected in Beam # 11521
J0139+5814	 24.83225 	 58.24217 	 0.2725 	 1.071167E-14 	 73.81141 	 0.4325344 	  55257  	  69.759	 105.633	    52.289    	   4.848    	Detected in Beam # 11665
J0141+6009	 25.41641 	 60.15897 	 1.2229 	 3.91070E-16 	   34.926 	 0.2456914 	  55250  	 167.415	 230.234	    82.661    	  15.392    	Detected in Beam # 09924
J0141+6009	 25.41641 	 60.15897 	 1.2229 	 3.91070E-16 	   34.926 	 0.4763003 	  55250  	  57.643	  52.134	    54.362    	   3.077    	Detected in Beam # 10068
J0141+6009	 25.41641 	 60.15897 	 1.2229 	 3.91070E-16 	   34.926 	 0.4416828 	  55250  	  72.941	 130.097	   107.205    	   7.653    	Detected in Beam # 10157
J0141+6009	 25.41641 	 60.15897 	 1.2229 	 3.91070E-16 	   34.926 	 0.3631658 	  55250  	 106.612	 192.115	   108.313    	  12.063    	Detected in Beam # 10301
  J0141+63	    25.25 	 63.13333 	 0.0467 	        * 	    272.6 	 0.2779352 	  55197  	  11.475	   2.577	     0.366    	   0.167    	Not Detected in # 08094
