num name RA Dec P0 dP0 P1 dP1 DM dDM W50 dW50 S400 dS400 S1400 dS1400 SPINDX dSPINDX temp
100 J0242+62 40.645833 62.947222 0.592000 0.0 * 0.0 4.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 84.92085623512544
101 J0243+6027 40.75 60.45 1.473000 0.0 * 0.0 141.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 111.14203289719924
102 J0244+14 41.2125 14.45 2.128100 0.0 * 0.0 31.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 40.672620617875864
103 J0248+6021 42.077571 60.359644 0.217094 5e-06 5.51e-14 5e-17 370.00 1.0 26.000 0.0 * 0.0 13.70 2.7 * 0.0 89.9863108175715
104 J0251+26 42.783333 26.083333 0.002540 0.0 * 0.0 20.00 0.0 * 0.0 * 0.0 * 0.0 * 0.0 44.39721957555681
106 J0303+22 45.75 22.8 1.207000 0.0 * 0.0 20.00 5.0 50.000 0.0 * 0.0 * 0.0 * 0.0 42.90737999248443
107 J0304+1932 46.137979 19.547611 1.387584 3e-12 1.30e-15 2e-20 15.66 0.00035 42.000 0.0 27.00 3.0 15.10 3.0 -1.40 0.2 40.672620617875864
108 J0308+74 47.0 74.0 0.003160 0.0 * 0.0 6.35 0.0 * 0.0 0.30 0.0 * 0.0 * 0.0 52.44235332414764
109 J0319+13 49.875 13.683333 * 0.0 * 0.0 12.00 2.0 * 0.0 * 0.0 * 0.0 * 0.0 34.71326228558636
110 J0323+3944 50.860908 39.748028 3.032072 1e-11 6.36e-16 7e-20 26.19 0.00093 42.700 0.0 34.00 7.0 0.90 0.2 -2.80 0.2 48.7177543664667
111 J0324+5239 51.231083 52.658694 0.336620 3e-12 3.81e-16 3e-18 115.46 0.0029 * 0.0 * 0.0 0.19 0.04 -1.60 0.3 78.0675941529925
112 J0325+67 51.5 67.816667 1.364741 6.2e-05 * 0.0 65.00 2.0 * 0.0 26.30 0.0 * 0.0 * 0.0 64.9570058219556
113 J0329+1654 52.285625 16.900556 0.893320 1e-12 2.15e-16 6e-20 40.82 0.036 17.000 0.0 0.60 0.0 * 0.0 -1.30 0.9 39.03379707649625
114 J0332+5434 53.247367 54.578769 0.714520 4e-12 2.05e-15 8e-21 26.76 0.0001 6.600 0.0 1500.00 200.0 203.00 57.0 -1.60 0.2 80.15336956929383
115 J0332+79 53.1875 79.166667 2.056210 6e-05 * 0.0 16.67 0.02 * 0.0 * 0.0 * 0.0 * 0.0 43.354331867406145
116 J0335+4555 53.819363 45.931521 0.269201 1.3e-13 7.35e-18 1e-21 47.15 0.00029 6.100 0.0 6.00 2.0 0.80 0.2 -1.90 0.3 60.934438947660176
117 J0337+1715 54.432608 17.254119 0.002733 9e-14 1.77e-20 9e-24 21.32 0.0003 * 0.0 * 0.0 * 0.0 * 0.0 37.09700561850216
