# results from master table, 12/09/18
# spindxflag: 0 means catalog spindx available (or sne='*'), 1 means spindx calculated using s400 and s1400, 2 means spindx=-1.7
name rajd decjd p0 dm dms dmserr dist mjd bw spindx spindxflag temp w10 w50 on-pulse sne snm dsnm DOF_corr s350m ds s350e s400 s1400 numdet bm surv spindx_m dspindx_m p1 assoc bsurf prof_len nosearch
J0125+62 21.42 62.59 1.708 118.0 118.0 0.44125391660641106 0.003 55200 75.0 * 2 142.8 60.704 17.087 7.0 32.378788645366136 10.846383847470705 1.217406553497433 0.9598795390321023 0.9921610225927919 0.15904811945961697 4.26643591803 3.40 * 1 8526 catalog * * * * * 200 0
J0134-2937 23.57 -29.6 0.136962 21.81 21.8 0.03538350054229934 0.177 56898 58.599999999999994 -0.6 1 78.34 12.091 5.992 17.0 59.610046142506924 63.980547865781105 1.2423749141358558 0.948705187056797 6.005106242804476 1.2595463859439535 9.838890825861165 9.00 3.90 3 113517 catalog * * 7.84e-17 * 1.05e+11 200 0
J0136+63 24.08 63.7 0.718 286.0 285.8 0.18549198602072783 0.007 55197 75.3 * 0 120.75 57.789 24.508 16.0 * 11.94634706257388 1.4492366014608618 0.9594242027765173 1.7020640813424897 0.27754461978090855 * * * 1 7861 catalog * * * * * 200 0
J0139+5621 24.91 56.36 1.775344 101.8 102.4 0.45865192817546385 0.302 55325 74.9 -2.6 0 109.18 63.07 35.632 7.0 5.000275136879514 7.027734311054486 0.8398895780419237 0.9598876636348879 0.9007954146189455 0.16720790533919525 0.99055159622 0.70 0.02 2 12652 catalog * * 7.91e-14 * 1.20e+13 200 0
J0139+5814 24.83 58.24 0.272451 73.81 73.84 0.07038645833333332 0.153 55254 75.5 -1.5 0 122.74000000000001 9.036 5.042 6.0 278.5502713012876 175.9056489796395 1.8874510774649527 0.9566996031155808 14.58875023750239 1.900143430589237 34.5307004548 28.00 4.60 3 11288 catalog -1.353806 0.293659 1.07e-14 * 1.73e+12 200 0
J0141+6009 25.41 60.15 1.222949 34.93 34.79 0.31594322954326337 0.245 55250 75.4 -1.5 0 133.3 97.984 34.478 16.0 202.8711411781251 128.90640137792255 2.7260801198306197 0.9597798104768748 26.091665246827127 3.0613722019741036 60.1068209729 49.00 4.50 4 9924 catalog -1.400009 0.117348 3.91e-16 * 7.00e+11 200 0
J0141+63 25.48 62.93 0.0467 273.0 272.8 0.018851139770125327 0.006 55197 74.0 * 2 143.7 4.941 2.17 13.0 6.920579313808808 6.7271720800259915 3.7180128522498075 0.9259652078830766 1.1481675189930003 0.6465502760209266 1.6312843216 1.30 * 1 8327 catalog * * * * * 128 0
J0147+5922 26.93 59.36 0.196321 40.11 40.08 0.05071862421667871 0.315 55253 76.0 -1.2 0 128.5 9.642 6.771 10.0 26.28695727614577 33.444300282779146 0.7209918814676616 0.9540582633793214 6.702381353900994 0.8191725801745268 7.77810909676 6.60 2.10 3 10767 catalog -1.267347 0.208560 2.57e-16 * 2.27e+11 200 0
J0151-0635 27.84 -6.58 1.464665 25.66 25.58 0.3783894424861412 0.049 57387 64.3 -1.3 0 79.53 79.521 58.26 25.0 285.74864742221155 47.46049341744759 1.6852632502402591 0.9598410093445986 4.35272554136728 0.8913662531124993 45.7501374219 38.00 1.60 2 84661 catalog -0.896463 1.019703 4.43e-16 * 8.15e+11 200 0
J0152-1637 28.04 -16.6 0.832742 11.93 12.01 0.215135052120993 0.151 57880 58.0 -1.8 0 77.45 30.21 18.218 7.0 265.41105147574785 208.57502012570453 1.1980042761723844 0.9595593698119633 11.346700104495898 2.4380657113258297 25.5361404685 20.00 2.10 3 97814 catalog -1.585274 0.237159 1.30e-15 * 1.05e+12 200 0
J0156+3949 29.23 39.82 1.811561 59.83 58.45 0.4680084229633646 0.313 55657 65.590234 -1.4 0 96.07000000000001 159.57 99.127 18.0 14.910984720399272 16.42436104953646 2.9389462528162924 0.9598916862740203 3.292475428645026 0.7946615838475116 4.82223884457 4.00 * 2 27436 catalog -1.505899 0.294646 1.52e-16 * 5.30e+11 200 0
J0157+6212 29.45 62.2 2.351745 30.21 30.1 0.6075624661062907 0.159 55200 75.0 -1.2 0 143.9 74.771 40.349 6.0 51.60147962297571 35.29591051732318 1.9992980864400332 0.959932388242038 3.6272266757766554 0.46811754471471123 7.62963378981 6.50 1.90 3 8738 catalog -0.742660 0.731912 1.89e-13 * 2.13e+13 200 0
J0201+7005 30.42 70.08 1.349184 21.03 21.07 0.34855545914678226 0.326 55163 75.7 * 0 123.34 49.133 11.06 9.0 * 6.13822561180282 1.7889787070699554 0.9598155960210525 1.1664821184135397 0.37005278934871777 * * * 2 4413 catalog * * 5.51e-15 * 2.76e+12 200 0
