num name ra dec p0 p1 dm
1 J1532-5603 233.1375 -56.06655555555555 0.5229755199999999 * 282.0
1 J1734-3100 263.7255 -31.00422222222222 0.54128578 * 261.5
1 J1854-0523 283.68449999999996 -5.396111111111112 0.5439700000000001 * 187.0
1 J1731-3325 262.75199999999995 -33.42413888888888 0.544668 * 877.4
1 J1718-4107  259.56 -41.12466666666667 0.548419 * 349.0
1 J1615-4959 243.80083333333332 -49.99316666666667 0.55826 * 237.0
1 J1638-4444  249.57449999999997 -44.749833333333335 0.5680565900000001 * 494.0
1 J1708-3639 257.24699999999996 -36.666583333333335 0.5875670000000001 * 314.1
1 J1835-0928  278.84549999999996 -9.459472222222221 0.62173 * 449.55
1 J1627-4954  246.94349999999994 -49.90994444444444 0.623678 * 596.0
1 J1738-2734 264.55199999999996 -27.577861111111112 0.627713 * 323.0
1 J1843-0508  280.8569999999999 -5.148888888888889 0.67161824 * 250.83
1 J1633-4955 248.295 -49.91544444444445 0.684889 * 649.1
1  J1002-5918 150.53849999999997 -59.311249999999994 0.7134952 * 347.2
1 J1622-4851  245.51699999999997 -48.85075 0.7350890000000001 * 292.1
1 J1722-3822 260.74199999999996 -38.378166666666665 0.76579615 * 463.95
1  J1649-3933 252.32849999999996 -39.55627777777777 0.77086 * 290.3
1 J1711-3721  257.92199999999997 -37.36263888888889 0.7926603279 * 347.0
1 J1603-5316 240.8595 -53.27297222222222 0.83921 * 113.0
1 J1612-5509  243.01804166666662 -55.157555555555554 0.8469070000000001 * 312.0
1  J1756-2528 269.18549999999993 -25.467694444444444 0.85598 * 706.0
1 J1741-3420 265.4955 -34.33488888888889 0.875079811 * 241.8
1 J1507-5757 226.9125 -57.949999999999996 0.89725 * 426.0
1 J1653-4514 253.49099999999996 -45.23775 0.95098 * 212.0
1 J1812-1530 273.16049999999996 -15.514583333333333 1.01453 * 436.0
1 J1831-0428 277.7505 -4.4751666666666665 1.06563 * 219.0
1 J1211-6318 182.796 -63.305166666666665 1.16317 * 547.0
1 J1136-6533 174.045 -65.55447222222222 1.18925 * 173.0
1  J1843-0306 280.97399999999993 -3.10425 1.19863 * 533.07
1 J1248-6450  192.14999999999998 -64.84008333333333 1.234889 * 237.4
1 J1842-0759 280.719 -7.989527777777778 1.25546407 * 188.6
1 J1840-0221 280.0095 -2.3531666666666666 1.26677 * 345.9
1 J1750-2840  267.56699999999995 -28.682833333333335 1.300517734 * 388.7
1 J1612-5019 243.24149999999997 -50.327083333333334 1.36828 * 255.0
1 J1824-1350 276.2294999999999 -13.846166666666667 1.3966020000000001 * 549.6
1 J1759-2402  269.853 -24.043000000000003 1.4577390000000001 * 772.5
1 J1812-2057 273.195 -20.955416666666665 1.9031099999999999 * 457.0
1 J1538-5623  234.71249999999995 -56.39666666666667 1.90849 * 163.0
1 J1851-0638 282.801 -6.637833333333333 1.9204 * 234.0
1 J1825-1114  276.2745 -11.2335 1.92588 * 121.0
1 J1514-6018 228.56849999999997 -60.31386111111111 1.958742 * 318.0
1 J1634-4230 248.59349999999998 -42.50080555555556 2.0151 * 360.0
1 J1835-0559 278.7749999999999 -5.998111111111111 2.22179 * 776.0
1 J1819-1706  274.938 -17.06041666666667 2.3522399999999997 * 81.2
1 J1840-0333  280.07849999999996 -3.5529166666666665 2.6756759999999997 * 195.1
1 J1749-2149 267.435 -21.824083333333334 2.71429 * 295.0
1 J1500-5549  225.04949999999997 -55.82361111111111 2.7673 * 195.0
1 J1527-5545  231.99149999999995 -55.756388888888885 3.4673000000000003 * 265.8
1  J1434-5941 218.56649999999996 -59.68877777777777 1.0721289999999999 * 133.0
1 J1259-6602 194.99549999999996 -66.04736111111112 1.1432449999999998 * 461.0
1  J1810-1708 272.7135 -17.1495 1.1611310000000001 * 639.0
1 J1732-3512 263.04854166666667 -35.20236111111112 0.126 * 340.0
1  J1504-5659 226.23149999999998 -56.992000000000004 1.672371 * 453.0
1 J1255-6247 193.75949999999997 -62.79936111111111 0.182 * 713.0
1 J1456-5504 224.12699999999998 -55.07369444444445 0.242998 * 74.2
1 J1345-5850 206.31149999999997 -58.83605555555556 0.252398 * 298.0
1 J1748-3017 267.00149999999996 -30.29952777777778 0.382 * 584.0
1  J1546-5706 236.6745 -57.11216666666667 0.0042910000000000005 * 95.7
1  J1557-5153 239.40299999999996 -51.89672222222222 0.408157 * 463.0
1  J1430-5713 217.611 -57.228500000000004 0.491507 * 142.0
1 J1829-1009  277.2855 -10.151444444444445 0.829 * 610.0
