#@ Using S/N > 6 for detection threshold on zuul
#@ Using beam #/users/amcewen/GBNCC_work/beams_rfi.txt to search for pulsars from tmp 
#@ Only searched for published pulsars
#@ Flux adjusted for offset from beam center
#@ Exclamation points next to Wcat and Wsmr indicate cases where W50 is not published, so the average ratio of W50/P0 is used
#@ S/Ne = expected S/N estimated from published flux values using width calculated from data
#@ S/Nc = expected S/N calculated using catalog W50
#@ S/Ns = S/N calulated using Weff (smeared out)
#@ S/Nm = measured S/N 
#@ Flux estimated from measured S/N, uncertainty estimated from dependencies
#@ File generated 2018-10-24 18:29:55 (ET)
#@ DM Searching - DMs is resulting DM from search
#@  PSRJ  	 RA 	 Dec 	 P0 		 DM 	 DMs 		 Dist  	 MJD     BW	 Spindx Temp 	 Wdat  		 Wcat 	 Wsmr 	 S/Ne 	 S/Nc 	S/Ns	S/Nm 	   Flux		dFlux		Status 
#@		(deg)	 (deg) 	 (s) 		 (p/cc)	 (p/cc)		 (deg)	 (day)	(MHz) 		 (K) 	 (ms)  		 (ms)  	  (ms)   				   (mJy)	(mJy)  
J1700-3611  	 255.2 	 -36.1 	 1.494091 	 232.7 	 233.9(0.39) 	 0.159 	 57129 	 93.4 	 -2.2 	 232.1 	 34.1458 	 0.67 	 6.67 	 129.90	 340.30	106.92	17.476	   2.5036    	 0.6421    	Detected in Beam 120728
J1721+35    	 260.4 	 35.4  	 0.8219   	 22.0 	 5.151(0.21) 	 0.133 	 56072 	 94.2 	 * 	 56.96 	 34.5006 	 3.65 	 14.6 	 *	 *	*	2.0508	   0.0928    	 0.0307    	Not Detected in  31830
J1735-0243  	 263.9 	 -2.73 	 0.782887 	 55.4 	 54.97(0.20) 	 0.193 	 57999 	 98.3 	 * 	 116.4 	 18.9834 	 6.51 	 26.0 	 *	 *	*	29.974	   2.3623    	 0.5617    	Detected in Beam  79363
J1735-0243  	 263.9 	 -2.73 	 0.782887 	 55.4 	 54.89(0.20) 	 0.193 	 57656 	 98.3 	 * 	 116.4 	 21.2367 	 6.51 	 26.0 	 *	 *	*	31.926	   2.6651    	 0.6194    	Detected in Beam  79363
J1739-2903  	 264.8 	 -29.0 	 0.322882 	 138.5 	 138.4(0.08) 	 0.130 	 56902 	 92.8 	 -1.3 	 925.3 	 21.7922 	 0.92 	 4.30 	 28.845	 113.59	52.322	0.7427	   0.7025    	 0.1673    	Not Detected in 113044
J1741-0840  	 265.3 	 -8.67 	 2.043082 	 74.9 	 30.57(0.53) 	 0.299 	 58348 	 98.3 	 -2.5 	 156.9 	 441.893 	 1.41 	 5.66 	 77.646	 482.88	238.84	0.0	   0.0    	 0.0    	Not Detected in  87204
J1745-0129  	 266.2 	 -1.48 	 1.045407 	 90.1 	 89.30(0.27) 	 0.124 	 57535 	 81.4 	 * 	 125.9 	 15.4194 	 0.33 	 1.34 	 *	 *	*	22.416	   1.3860    	 0.4563    	Detected in Beam  78088
J1759-1029  	 269.8 	 -10.4 	 2.512263 	 110.0 	 115.4(0.65) 	 0.347 	 58355 	 97.2 	 * 	 205.5 	 183.818 	 2.39! 	 9.57! 	 *	 *	*	11.711	   5.4031    	 0.6069    	Detected in Beam  89822
J1801-0357  	 270.3 	 -3.96 	 0.921491 	 120.3 	 120.2(0.24) 	 0.234 	 58087 	 97.2 	 -2.6 	 168.2 	 10.4201 	 0.61 	 2.50 	 272.06	 522.37	258.22	116.67	   10.316    	 2.8517    	Detected in Beam  81460
J1802+0128  	 270.6 	 1.473 	 0.554262 	 97.97 	 101.4(0.14) 	 0.205 	 57854 	 76.7 	 * 	 120.7 	 41.0694 	 0.56 	 2.29 	 *	 *	*	1.4518	   0.2497    	 0.0592    	Not Detected in  74318
